Time,F025,F050,F075,F100,SD025,SD050,SD075,SD100
60,1.76,2.76,2.76,3.27,0.29,0.00,0.00,0.29
120,3.27,5.53,5.78,7.04,0.29,0.29,0.29,0.29
180,5.03,8.29,8.8,10.3,0.29,0.58,0.77,0.77
240,6.79,10.81,11.81,13.57,0.50,0.58,1.01,1.05
300,8.29,13.57,14.83,16.84,0.50,0.87,1.54,1.26
360,10.05,16.59,17.84,20.11,0.77,1.33,1.51,1.51
420,11.56,19.35,20.61,23.37,0.58,1.26,0.77,1.77
480,13.32,22.12,24.13,26.64,0.77,1.26,0.77,2.01
540,15.08,24.63,26.64,29.91,0.87,1.26,0.58,1.81
600,16.59,27.39,29.15,33.18,0.87,1.01,0.50,1.90
